measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sweden,Male,10 to 14,Self-harm,Number,2017,1.1487453241845687,1.5332475437532598,0.8218335204715485
Deaths,Sweden,Female,10 to 14,Self-harm,Number,2017,1.9372282651640902,2.5008840427322836,1.4158611134296273
Deaths,Sweden,Male,10 to 14,Self-harm,Percent,2017,0.06291161606675455,0.08210542479432115,0.04597695629151819
Deaths,Sweden,Female,10 to 14,Self-harm,Percent,2017,0.07510002602802933,0.09728231229646203,0.055450614591130466
Deaths,Sweden,Male,10 to 14,Self-harm,Rate,2017,0.388572865072239,0.5186340073802583,0.27799217018682315
Deaths,Sweden,Female,10 to 14,Self-harm,Rate,2017,0.6932132505201362,0.8949105211871037,0.5066484432295204
Deaths,Sweden,Male,15 to 19,Self-harm,Number,2017,20.65229404710867,24.178244854298843,17.44200961356451
Deaths,Sweden,Female,15 to 19,Self-harm,Number,2017,9.303764454632436,10.714525576375397,7.980788826367623
Deaths,Sweden,Male,15 to 19,Self-harm,Percent,2017,0.2793393681195235,0.32281526864059124,0.23894768686641774
Deaths,Sweden,Female,15 to 19,Self-harm,Percent,2017,0.2846542254181935,0.3225863513823159,0.24662321627894374
Deaths,Sweden,Male,15 to 19,Self-harm,Rate,2017,7.443822450426798,8.714700722728818,6.286721583851775
Deaths,Sweden,Female,15 to 19,Self-harm,Rate,2017,3.634584177297953,4.185708410508844,3.1177539943231505
Deaths,Sweden,Male,20 to 24,Self-harm,Number,2017,54.17621157609038,61.792702194513275,46.54693616377074
Deaths,Sweden,Female,20 to 24,Self-harm,Number,2017,24.452764397517544,27.6831005973319,21.52078322842925
Deaths,Sweden,Male,20 to 24,Self-harm,Percent,2017,0.32651504754171445,0.37030257252962173,0.28556692028662045
Deaths,Sweden,Female,20 to 24,Self-harm,Percent,2017,0.3441406315451705,0.38038561995198855,0.3088184275952517
Deaths,Sweden,Male,20 to 24,Self-harm,Rate,2017,17.261169978775666,19.68787231512677,14.830394258661265
Deaths,Sweden,Female,20 to 24,Self-harm,Rate,2017,8.344213068810646,9.446526619006994,7.343709600536216
Deaths,Sweden,Male,25 to 29,Self-harm,Number,2017,80.68594519116425,91.83914328908548,70.09578064175253
Deaths,Sweden,Female,25 to 29,Self-harm,Number,2017,26.310160659866092,30.105256204342037,22.54114314956924
Deaths,Sweden,Male,25 to 29,Self-harm,Percent,2017,0.31191957814590815,0.34730977309574984,0.2750232351673814
Deaths,Sweden,Female,25 to 29,Self-harm,Percent,2017,0.28449417841812463,0.3171931842069571,0.2487752089310615
Deaths,Sweden,Male,25 to 29,Self-harm,Rate,2017,21.649557913883505,24.642170909540692,18.808017417743272
Deaths,Sweden,Female,25 to 29,Self-harm,Rate,2017,7.459593961371301,8.535599242083427,6.390982460910176
Deaths,Sweden,Male,30 to 34,Self-harm,Number,2017,73.74514653545839,83.54428838637804,64.13875645781472
Deaths,Sweden,Female,30 to 34,Self-harm,Number,2017,26.242180680411483,29.926506043981494,22.48239473085217
Deaths,Sweden,Male,30 to 34,Self-harm,Percent,2017,0.28486738532151357,0.3202685412995869,0.2524143880362428
Deaths,Sweden,Female,30 to 34,Self-harm,Percent,2017,0.24254580531383307,0.27334770870977243,0.21102988571057152
Deaths,Sweden,Male,30 to 34,Self-harm,Rate,2017,21.979207489807724,24.899770836439078,19.116092414932364
Deaths,Sweden,Female,30 to 34,Self-harm,Rate,2017,8.250962058727028,9.409372983376787,7.068825116811016
Deaths,Sweden,Male,35 to 39,Self-harm,Number,2017,69.7357613186329,79.6222874697888,60.32464142184742
Deaths,Sweden,Female,35 to 39,Self-harm,Number,2017,22.863472074326776,26.845620794427127,19.325480477785156
Deaths,Sweden,Male,35 to 39,Self-harm,Percent,2017,0.2574185731002225,0.28876002701876796,0.22687693535997938
Deaths,Sweden,Female,35 to 39,Self-harm,Percent,2017,0.17981953410605478,0.20419018921120027,0.15767021096659253
Deaths,Sweden,Male,35 to 39,Self-harm,Rate,2017,21.935291482839816,25.045085206714763,18.975036167454267
Deaths,Sweden,Female,35 to 39,Self-harm,Rate,2017,7.525189720536208,8.835857869132713,6.360709631637799
Deaths,Sweden,Male,40 to 44,Self-harm,Number,2017,74.75279391644376,85.05339677413328,65.22524925911858
Deaths,Sweden,Female,40 to 44,Self-harm,Number,2017,28.466590635149007,33.08589214365303,24.217945613372443
Deaths,Sweden,Male,40 to 44,Self-harm,Percent,2017,0.20915340125230655,0.23477942197917065,0.18533375117943982
Deaths,Sweden,Female,40 to 44,Self-harm,Percent,2017,0.1352820280637438,0.15434218012729292,0.11711447140691611
Deaths,Sweden,Male,40 to 44,Self-harm,Rate,2017,23.059573319076762,26.2370800634144,20.12053782534065
Deaths,Sweden,Female,40 to 44,Self-harm,Rate,2017,9.097317458160209,10.573548061129966,7.739540791979152
Deaths,Sweden,Male,45 to 49,Self-harm,Number,2017,86.46191806598226,99.16022003431705,74.45316199620069
Deaths,Sweden,Female,45 to 49,Self-harm,Number,2017,34.85301346717353,41.180413511445465,29.24968581146775
Deaths,Sweden,Male,45 to 49,Self-harm,Percent,2017,0.15328951683326378,0.1734052197421486,0.13389837410357328
Deaths,Sweden,Female,45 to 49,Self-harm,Percent,2017,0.09461823888874787,0.10945825812875626,0.08135894633607735
Deaths,Sweden,Male,45 to 49,Self-harm,Rate,2017,26.138719627299636,29.97760456436284,22.50829463787125
Deaths,Sweden,Female,45 to 49,Self-harm,Rate,2017,10.81177630227865,12.774603244578158,9.07356433335028
Deaths,Sweden,Male,50 to 54,Self-harm,Number,2017,99.49773713064752,115.70309771520924,85.30247801879356
Deaths,Sweden,Female,50 to 54,Self-harm,Number,2017,42.45299565012868,49.50946496944359,36.066014181921105
Deaths,Sweden,Male,50 to 54,Self-harm,Percent,2017,0.10854031679708596,0.12309399199973882,0.09462611524676152
Deaths,Sweden,Female,50 to 54,Self-harm,Percent,2017,0.07173513961516842,0.08317593243932649,0.06177224145426748
Deaths,Sweden,Male,50 to 54,Self-harm,Rate,2017,28.713012567398128,33.38954829114792,24.616551029373973
Deaths,Sweden,Female,50 to 54,Self-harm,Rate,2017,12.67119740528412,14.77738365574955,10.764837164547973
Deaths,Sweden,Male,55 to 59,Self-harm,Number,2017,84.53395758795878,98.90014853745957,71.73410932062313
Deaths,Sweden,Female,55 to 59,Self-harm,Number,2017,35.42779397675549,41.52083029309166,29.566754082153192
Deaths,Sweden,Male,55 to 59,Self-harm,Percent,2017,0.06413770939111217,0.07323465976545612,0.055483979241438365
Deaths,Sweden,Female,55 to 59,Self-harm,Percent,2017,0.03874713637897117,0.045011775953888035,0.03293940794240633
Deaths,Sweden,Male,55 to 59,Self-harm,Rate,2017,28.63507283088671,33.50148315733255,24.299246166459177
Deaths,Sweden,Female,55 to 59,Self-harm,Rate,2017,12.215218306420983,14.316048202909354,10.194378909472295
Deaths,Sweden,Male,60 to 64,Self-harm,Number,2017,77.89513704772754,91.61212903333346,65.39118906422362
Deaths,Sweden,Female,60 to 64,Self-harm,Number,2017,34.13663831031685,40.87461426004537,28.145373110174614
Deaths,Sweden,Male,60 to 64,Self-harm,Percent,2017,0.03478390973525061,0.04070608720614382,0.029765687813617676
Deaths,Sweden,Female,60 to 64,Self-harm,Percent,2017,0.022906849059153713,0.027206855405613708,0.0190548542050196
Deaths,Sweden,Male,60 to 64,Self-harm,Rate,2017,27.627414844271733,32.49248142435473,23.19258397774671
Deaths,Sweden,Female,60 to 64,Self-harm,Rate,2017,12.09527364558109,14.482669328438352,9.972452077147185
Deaths,Sweden,Male,65 to 69,Self-harm,Number,2017,70.59261133616755,82.61439271333688,59.537735246484274
Deaths,Sweden,Female,65 to 69,Self-harm,Number,2017,33.119294053422294,39.61273321135673,27.434218361161914
Deaths,Sweden,Male,65 to 69,Self-harm,Percent,2017,0.019480765978795347,0.02263284930737583,0.01667652883038627
Deaths,Sweden,Female,65 to 69,Self-harm,Percent,2017,0.013606832862949936,0.01594127778413284,0.01144858387993215
Deaths,Sweden,Male,65 to 69,Self-harm,Rate,2017,25.5347533905299,29.883271131558743,21.535984548155234
Deaths,Sweden,Female,65 to 69,Self-harm,Rate,2017,11.675339547501784,13.96443142481174,9.671215034662723
Deaths,Sweden,Male,70 to 74,Self-harm,Number,2017,64.17030865841892,76.1589812467879,53.815140699432845
Deaths,Sweden,Female,70 to 74,Self-harm,Number,2017,29.59270365182481,36.02220702225967,24.33740348738415
Deaths,Sweden,Male,70 to 74,Self-harm,Percent,2017,0.011637522993342643,0.01359924209966697,0.009898027823829317
